Predator;529
Prey;8404
Tick;159
Predator;549
Prey;8378
Tick;160
Predator;571
Prey;8329
Tick;161
Predator;598
Prey;8309
Tick;162
Predator;612
Prey;8334
Tick;163
Predator;632
Prey;8327
Tick;164
Predator;659
Prey;8335
Tick;165
Predator;689
Prey;8283
Tick;166
Predator;723
Prey;8289
Tick;167
Predator;745
Prey;8249
Tick;168
Predator;752
Prey;8237
Tick;169
Predator;764
Prey;8201
Tick;170
Predator;776
Prey;8183
Tick;171
Predator;798
Prey;8183
Tick;172
Predator;808
Prey;8117
Tick;173
Predator;821
Prey;8113
Tick;174
Predator;820
Prey;8057
Tick;175
Predator;824
Prey;8053
Tick;176
Predator;843
Prey;7999
Tick;177
Predator;868
Prey;7973
Tick;178
Predator;882
Prey;7909
Tick;179
Predator;878
Prey;7839
Tick;180
Predator;885
Prey;7782
Tick;181
Predator;904
Prey;7729
Tick;182
Predator;933
Prey;7653
Tick;183
Predator;952
Prey;7569
Tick;184
Predator;972
Prey;7463
Tick;185
Predator;975
Prey;7403
Tick;186
Predator;982
Prey;7307
Tick;187
Predator;1002
Prey;7211
Tick;188
Predator;1016
Prey;7096
Tick;189
Predator;1036
Prey;6973
Tick;190
Predator;1055
Prey;6839
Tick;191
Predator;1053
Prey;6716
Tick;192
Predator;1049
Prey;6566
Tick;193
Predator;1054
Prey;6448
Tick;194
Predator;1066
Prey;6335
Tick;195
Predator;1082
Prey;6186
Tick;196
Predator;1091
Prey;6057
Tick;197
Predator;1100
Prey;5871
Tick;198
Predator;1133
Prey;5686
Tick;199
Predator;1152
Prey;5534
Tick;200
Predator;1177
Prey;5351
Tick;201
Predator;1200
Prey;5223
Tick;202
Predator;1227
Prey;5039
Tick;203
Predator;1244
Prey;4866
Tick;204
Predator;1284
Prey;4690
Tick;205
Predator;1324
Prey;4485
Tick;206
Predator;1356
Prey;4300
Tick;207
Predator;1381
Prey;4133
Tick;208
Predator;1401
Prey;3916
Tick;209
Predator;1416
Prey;3729
Tick;210
Predator;1430
Prey;3581
Tick;211
Predator;1456
Prey;3403
Tick;212
Predator;1495
Prey;3221
Tick;213
Predator;1512
Prey;3090
Tick;214
Predator;1514
Prey;2923
Tick;215
Predator;1520
Prey;2755
Tick;216
Predator;1545
Prey;2625
Tick;217
Predator;1548
Prey;2506
Tick;218
Predator;1543
Prey;2369
Tick;219
Predator;1545
Prey;2222
Tick;220
Predator;1532
Prey;2125
Tick;221
Predator;1514
Prey;2021
Tick;222
Predator;1512
Prey;1884
Tick;223
Predator;1508
Prey;1775
Tick;224
Predator;1500
Prey;1651
Tick;225
Predator;1487
Prey;1523
Tick;226
Predator;1449
Prey;1411
Tick;227
Predator;1437
Prey;1318
Tick;228
Predator;1429
Prey;1199
Tick;229
